City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
San Quintin,0,PH,1555698005,80,17.54,120.52,78.36,1.81
Back Mountain,75,US,1555698003,64,41.34,-76.0,75.0,9.17
Sao Jose da Coroa Grande,98,BR,1555698005,63,-8.9,-35.15,87.36,10.87
Majene,78,ID,1555698005,68,-3.54,118.97,84.84,5.08
Juegang,83,CN,1555697710,89,32.31,121.18,62.01,11.05
Samarai,17,PG,1555698006,91,-10.62,150.67,72.42,3.67
Kargil,0,PK,1555698006,61,34.56,76.13,25.98,3.6
Wangkui,29,CN,1555698006,28,46.83,126.5,40.56,12.57
Ibra,0,OM,1555698007,19,22.69,58.55,86.82,0.45
Lake Havasu City,1,US,1555697776,15,34.47,-114.34,87.01,5.82
Monrovia,75,LR,1555696800,83,6.33,-10.8,80.6,3.36
Kardla,81,EE,1555697416,28,58.44,26.57,57.2,8.05
Zhezkazgan,100,KZ,1555698008,83,47.8,67.71,42.36,6.06
Narsaq,0,GL,1555698008,39,60.91,-46.05,36.6,20.4
Markova,0,RU,1555697419,58,52.21,104.21,26.6,4.47
Ukiah,1,US,1555697908,52,39.15,-123.21,71.01,3.51
Maniitsoq,0,GL,1555698009,45,65.42,-52.9,22.38,4.05
Parksville,90,US,1555698004,88,33.79,-82.22,71.6,17.22
Macau,100,BR,1555698009,68,-5.11,-36.64,85.02,13.87
Boca do Acre,45,BR,1555698010,40,-8.76,-67.39,96.9,2.42
Puerto Colombia,20,CO,1555693200,55,10.99,-74.96,91.4,11.41
Pointe-Noire,72,CG,1555698010,86,-4.8,11.85,82.86,8.43
Marsh Harbour,5,BS,1555698010,80,26.54,-77.06,77.82,20.2
Matara,90,PE,1555693200,66,-13.74,-72.9,53.6,8.01
Bartica,75,GY,1555693200,52,6.41,-58.62,91.4,16.11
Goderich,100,CA,1555697929,99,43.74,-81.71,39.99,17.0
Ulladulla,35,AU,1555697794,100,-35.36,150.48,60.8,5.82
Skelleftea,82,SE,1555697367,71,64.75,20.95,50.0,4.7
Hongjiang,88,CN,1555698012,98,27.21,109.83,65.94,3.31
Mitu,19,IR,1555698012,68,36.2,46.09,43.44,5.55
Antofagasta,20,CL,1555693200,59,-23.65,-70.4,66.2,11.41
Trzebnica,0,PL,1555698004,55,51.31,17.06,66.2,6.93
Hovd,0,NO,1555697716,36,63.83,10.7,60.8,5.82
Umba,69,RU,1555698012,91,66.69,34.34,34.08,5.06
Saint Anthony,1,US,1555697808,39,43.97,-111.68,64.0,13.87
Petropavlovsk-Kamchatskiy,75,RU,1555693200,86,53.05,158.65,28.4,4.47
Kholtoson,0,RU,1555698013,34,50.3,103.31,17.7,3.06
Kropotkin,100,RU,1555697716,44,45.43,40.58,46.0,14.99
Podgornoye,65,RU,1555698014,83,57.79,82.64,27.24,7.54
Skjervoy,100,NO,1555698014,87,70.03,20.97,41.64,12.59
Quatre Cocos,40,MU,1555697942,83,-20.21,57.76,78.8,5.82
Mnogovershinnyy,99,RU,1555698014,97,53.94,139.92,28.14,5.17
Vallenar,3,CL,1555698015,42,-28.58,-70.76,72.06,7.56
Bisira,99,PA,1555698015,57,8.52,-81.71,84.84,3.04
Codrington,75,AU,1555697996,93,-28.95,153.24,71.6,4.81
Hambantota,95,LK,1555698015,72,6.12,81.12,85.2,4.99
Zyryanka,70,RU,1555698015,88,65.73,150.89,9.78,4.12
Kautokeino,80,NO,1555698015,94,69.01,23.04,34.8,11.07
Maceio,40,BR,1555696800,58,-9.67,-35.74,87.8,16.11
Bilma,0,NE,1555698016,9,18.69,12.92,82.14,5.41
Tagusao,39,PH,1555698016,75,9.19,117.81,82.14,4.92
Richards Bay,0,ZA,1555698016,80,-28.77,32.06,77.82,27.69
Ambunti,2,PG,1555698017,99,-4.22,142.82,72.42,0.6
Niono,0,ML,1555698017,5,14.25,-5.99,107.7,4.79
Vilyuysk,97,RU,1555698018,80,63.75,121.63,21.48,13.73
Kruisfontein,100,ZA,1555698018,69,-34.0,24.73,62.34,5.88
Ahuimanu,75,US,1555697751,83,21.44,-157.84,77.0,6.93
Karratha,99,AU,1555698018,32,-20.74,116.85,81.06,17.63
Vredendal,51,ZA,1555698019,90,-31.68,18.49,62.34,5.53
Muroto,6,JP,1555698019,88,33.37,134.14,54.42,4.52
Whitehorse,75,CA,1555697817,32,60.72,-135.06,37.99,8.05
Denpasar,75,ID,1555695000,94,-8.65,115.22,78.8,4.7
Key West,90,US,1555697798,54,47.93,-96.78,60.8,20.8
Candolim,23,IN,1555698019,76,15.52,73.76,84.3,17.29
Elliot,1,ZA,1555698020,28,-31.33,27.85,61.62,7.52
Mersing,89,MY,1555697894,93,2.43,103.84,77.64,1.3
Yeppoon,35,AU,1555695000,82,-23.13,150.74,68.0,4.7
Madera,1,US,1555697867,39,36.96,-120.06,81.0,4.7
Havre-Saint-Pierre,90,CA,1555696800,93,50.23,-63.6,35.6,4.7
Port Keats,11,AU,1555698020,75,-14.25,129.55,80.88,2.53
Wanning,0,AT,1555698018,39,48.64,13.53,64.99,7.34
Napasar,0,IN,1555698021,30,27.97,73.56,83.4,5.61
Taoudenni,0,ML,1555698021,9,22.68,-3.98,92.94,17.4
Tabou,100,CI,1555698021,78,4.42,-7.36,81.24,3.62
Gwadar,0,PK,1555698021,81,25.12,62.33,78.36,9.1
Egvekinot,100,RU,1555698021,90,66.32,-179.17,-0.31,9.64
Singaraja,47,ID,1555698022,71,-8.11,115.08,83.76,7.18
Fuerte Olimpo,9,BR,1555698022,36,-21.04,-57.87,98.52,6.31
Nong Han,3,TH,1555698022,40,17.36,103.11,92.58,9.06
Natal,40,BR,1555693200,66,-5.81,-35.21,87.8,12.75
La Libertad,20,PE,1555696800,32,-16.38,-71.56,68.0,12.75
Marilia,82,BR,1555698022,70,-8.64,-48.82,87.36,2.59
Hukuntsi,85,BW,1555698023,22,-23.98,21.76,82.68,6.64
Nicoya,75,CR,1555697766,49,10.15,-85.45,89.6,6.93
Opuwo,41,NA,1555698023,34,-18.06,13.84,82.68,7.7
Alekseyevsk,76,RU,1555698023,79,57.84,108.35,18.96,11.95
Botshabelo,20,ZA,1555696800,68,-29.23,26.73,64.4,6.93
Byron Bay,75,AU,1555697996,93,-28.65,153.62,71.6,3.8
Keti Bandar,0,PK,1555698024,78,24.14,67.45,78.54,12.95
Isangel,47,VU,1555698024,81,-19.55,169.27,79.98,23.8
Oksfjord,96,NO,1555697729,75,70.24,22.35,42.8,17.22
Fare,3,PF,1555698024,75,-16.7,-151.02,84.3,9.73
Bilibino,81,RU,1555698024,97,68.06,166.44,-0.13,7.7
Sukumo,0,JP,1555698024,87,32.94,132.72,57.12,6.22
Ormara,0,PK,1555698024,55,25.21,64.64,79.26,12.03
Tikapur,0,NP,1555698025,37,28.53,81.12,77.1,3.94
Evensk,76,RU,1555698025,84,61.92,159.24,27.24,2.3
Suntar,100,RU,1555698025,93,62.16,117.65,25.98,6.78
Omboue,95,GA,1555698025,81,-1.57,9.26,83.76,14.34
Monastyrshchina,70,RU,1555698025,52,54.35,31.84,45.06,4.45
Tigil,79,RU,1555698025,87,57.8,158.67,31.2,2.71
Portland,90,US,1555697651,77,45.52,-122.67,66.0,4.7
Constitucion,0,MX,1555698016,19,23.99,-104.67,68.0,10.0
Tarko-Sale,100,RU,1555697760,85,64.92,77.78,21.0,1.99
Silvan,75,TR,1555696200,87,38.14,41.01,50.0,6.93
Visby,0,SE,1555697797,37,57.64,18.3,50.0,2.24
Jutai,100,BR,1555698026,92,-1.71,-47.89,82.68,3.91
Taicheng,29,CN,1555698013,95,22.25,112.8,80.01,3.0
Makhinjauri,90,GE,1555695000,87,41.67,41.69,50.0,4.7
Mandera,38,ET,1555698027,44,3.94,41.86,91.14,8.81
Manta,10,RO,1555698027,58,45.1,24.1,48.66,4.16
George Town,75,MY,1555695000,79,5.42,100.33,87.8,3.36
Kirakira,100,SB,1555698027,82,-10.46,161.92,79.98,4.18
Santa Cruz,1,US,1555698024,72,36.97,-122.03,78.01,3.36
College,90,US,1555698005,86,64.86,-147.8,28.99,4.7
Buala,100,SB,1555698030,82,-8.15,159.59,80.88,14.94
Kontagora,84,NG,1555698030,12,10.4,5.47,101.22,3.42
Baghdad,0,IQ,1555695000,63,33.3,44.38,62.6,17.22
Sernur,30,RU,1555698009,75,56.93,49.15,34.8,4.21
Faya,20,SA,1555693200,77,18.39,42.45,69.8,9.17
Port Lincoln,55,AU,1555698031,44,-34.72,135.86,75.3,21.5
Oussouye,0,SN,1555698031,72,12.49,-16.54,74.76,22.79
Bobrovka,0,RU,1555698031,39,52.3,45.54,40.38,4.07
Necochea,0,AR,1555696890,60,-38.55,-58.74,66.0,8.01
Pringsewu,100,ID,1555698031,97,-5.36,104.98,74.04,1.9
Cartagena del Chaira,98,CO,1555698032,66,1.33,-74.84,83.22,5.32
Pangai,75,TO,1555693200,88,-19.8,-174.35,75.2,19.46
Jurm,94,AF,1555698032,47,36.86,70.83,55.68,2.28
Shebunino,0,RU,1555695000,45,57.66,40.04,44.6,4.47
Westport,0,IE,1555697890,72,53.8,-9.52,64.99,8.05
Sola,0,NO,1555698005,38,58.89,5.65,59.0,10.29
The Valley,40,AI,1555697799,58,18.22,-63.06,84.2,18.34
Kuryk,99,KZ,1555698033,46,43.18,51.68,47.94,10.31
Canon City,1,US,1555695300,22,39.46,-117.13,68.0,8.05
Ugoofaaru,100,MV,1555698033,74,5.67,73.0,84.12,7.7
Parry Sound,100,CA,1555697863,99,45.34,-80.04,39.99,14.61
Saint George,20,GR,1555697599,76,39.45,22.34,61.0,4.0
Ligayan,27,PH,1555698034,74,4.65,119.47,84.48,9.53
Chicama,0,PE,1555693200,78,-7.84,-79.15,73.4,12.75
Seoul,1,KR,1555696200,93,37.57,126.98,53.6,1.12
Rundu,23,NA,1555693200,23,-17.91,19.77,84.2,2.24
Masallatah,99,LY,1555697828,55,32.62,14.0,63.6,21.03
Lisala,100,CD,1555698034,73,2.15,21.52,79.44,2.3
Sundargarh,36,IN,1555698035,53,22.12,84.04,81.78,13.04
Barreirinha,84,BR,1555698035,88,-2.8,-57.07,84.12,3.8
Sernovodsk,7,RU,1555698035,51,53.92,51.26,37.5,3.85
Gat,0,SN,1555696800,53,14.69,-16.54,77.0,18.34
Talakan,7,RU,1555698035,60,50.29,130.28,23.82,3.71
Shenkursk,100,RU,1555698035,95,62.11,42.91,38.4,3.44
Princeton,90,US,1555697823,57,41.37,-89.46,57.99,24.16
Oslo,95,NO,1555698022,52,59.91,10.74,61.0,6.93
Rapid Valley,1,US,1555697795,30,44.06,-103.15,73.0,9.17
Kamaishi,0,JP,1555698036,80,39.28,141.86,27.96,3.53
Pasni,0,PK,1555698036,55,25.26,63.48,80.7,5.26
Verkhnyaya Inta,100,RU,1555698036,95,65.99,60.32,29.94,4.79
Somerset West,75,ZA,1555697778,93,-34.08,18.85,63.0,5.82
Ferme-Neuve,100,CA,1555698036,84,46.7,-75.45,39.48,9.48
Livingston,90,US,1555697776,71,32.58,-88.19,55.4,18.34
Tekkali,1,IN,1555698037,82,18.62,84.23,80.7,1.77
Pointe Michel,20,DM,1555693200,48,15.25,-61.38,86.0,14.99
Mobaye,100,CF,1555698037,81,4.33,21.18,77.1,7.05
Kajaani,0,FI,1555694400,45,64.22,27.73,44.6,6.93
Bingen,1,DE,1555698007,26,49.97,7.9,73.4,3.36
Wencheng,75,CN,1555698038,98,27.79,120.09,61.08,2.8
Sorochinsk,0,RU,1555698038,39,52.43,53.15,37.32,5.46
Santa Fe,99,AR,1555697991,59,-31.62,-60.7,88.0,4.0
Vazante,24,BR,1555698038,62,-17.99,-46.9,82.68,1.23
Marquette,5,US,1555697721,26,46.54,-87.4,53.01,16.11
Kawalu,100,ID,1555698039,96,-7.38,108.21,71.16,2.15
Rio Grande,20,BR,1555693200,42,-32.03,-52.1,80.6,6.93
Yerbogachen,57,RU,1555698039,91,61.28,108.01,16.44,1.41
Bella Union,100,CO,1555698039,75,8.5,-73.35,78.72,1.79
Manokwari,100,ID,1555697795,88,-0.87,134.08,73.5,1.5
Alice Springs,6,AU,1555695000,42,-23.7,133.88,66.2,5.82
Ketchikan,90,US,1555692960,81,55.34,-131.65,44.6,5.82
Chapleau,40,CA,1555696800,45,47.85,-83.4,44.6,12.75
Alakurtti,26,RU,1555697614,61,66.96,30.34,35.01,1.86
Zaraza,99,VE,1555698040,33,9.35,-65.33,94.74,8.21
Kongolo,57,CD,1555698040,65,-5.39,27.0,78.54,3.15
Svetlogorsk,22,RU,1555695000,50,53.14,59.15,28.4,6.71
Ampanihy,14,MG,1555698040,75,-24.69,44.75,71.16,13.71
Broome,0,GB,1555698037,62,52.47,1.45,69.8,8.05
Namatanai,97,PG,1555698041,89,-3.66,152.44,76.56,3.65
Lukulu,91,ZM,1555698041,65,-14.38,23.24,75.48,5.39
Chernyshevskiy,100,RU,1555698041,89,63.01,112.47,18.24,3.09
Matane,75,CA,1555697902,65,48.83,-67.52,48.0,8.05
Mackenzie,75,CA,1555696800,45,55.34,-123.09,44.6,6.93
Bereda,20,ES,1555698007,63,43.27,-7.54,64.4,6.93
Chimore,92,BO,1555698041,54,-16.98,-65.13,87.36,2.98
Huarmey,91,PE,1555698042,87,-10.07,-78.15,70.08,12.37
Jacareacanga,86,BR,1555698042,57,-6.22,-57.76,90.42,3.09
Wajid,28,SO,1555698042,39,3.81,43.25,92.4,5.1
Huangnihe,25,CN,1555698042,34,43.56,128.02,33.9,4.25
Sabzevar,17,IR,1555698042,63,36.21,57.68,59.1,5.3
Vestmannaeyjar,90,IS,1555693200,100,63.44,-20.27,46.4,26.4
Verkhniy Rohachyk,95,UA,1555698044,56,47.25,34.34,45.42,9.75
Conceicao do Araguaia,96,BR,1555698044,56,-8.26,-49.26,91.14,2.48
Waingapu,0,ID,1555698044,90,-9.65,120.26,74.04,7.38
Kingston,90,CA,1555697788,100,44.23,-76.48,57.2,14.99
Agropoli,27,IT,1555697868,46,40.35,15.0,64.0,1.01
Tufanganj,32,IN,1555698045,28,26.23,89.7,79.26,6.55
Galiakot,0,IN,1555698046,20,23.54,74.01,88.98,1.83
Margherita,1,IN,1555698046,86,27.29,95.67,69.18,1.54
Hami,0,CN,1555698046,18,42.84,93.51,65.76,9.1
Suluova,75,TR,1555696200,83,40.83,35.65,41.0,16.11
Zurrieq,40,MT,1555698046,77,35.83,14.47,60.8,10.29
Menomonie,1,US,1555698024,20,44.88,-91.92,61.0,8.05
Kilindoni,36,TZ,1555698046,79,-7.91,39.67,84.12,13.2
Gigmoto,4,PH,1555698046,75,13.78,124.39,81.06,7.85
Coos Bay,90,US,1555697783,93,43.37,-124.22,55.99,6.93
Fairview,75,US,1555698044,50,40.81,-74.0,79.0,10.29
Geaca,0,RO,1555696800,24,46.85,24.09,57.2,8.05
Fayetteville,75,US,1555697926,47,36.06,-94.16,60.01,23.04
Izumo,20,JP,1555693200,87,35.37,132.75,44.6,2.24
Aykhal,90,RU,1555693200,41,65.95,111.51,21.2,8.95
Imeni Poliny Osipenko,4,RU,1555698050,81,52.42,136.49,23.28,4.99
Jesup,90,US,1555698048,88,31.61,-81.89,71.6,16.11
Hit,36,IQ,1555698050,27,33.64,42.83,68.82,6.2
Cap Malheureux,40,MU,1555697942,83,-19.98,57.61,78.8,5.82
Linhares,4,BR,1555698050,55,-19.38,-40.06,88.08,3.24
Herbrechtingen,0,DE,1555698006,65,48.62,10.18,69.01,6.93
Khandyga,0,RU,1555698050,78,62.65,135.58,9.6,6.08
Culebra,1,US,1555698036,24,34.68,-105.77,66.99,3.36
Alpena,20,US,1555698040,65,45.06,-83.43,48.0,16.11
Sokolo,0,ML,1555698051,5,14.74,-6.12,106.62,5.39
Alghero,0,IT,1555698009,42,40.56,8.32,68.0,11.41
Daugai,0,LT,1555697755,24,54.36,24.35,59.0,5.82
Warri,71,NG,1555697886,73,5.52,5.75,84.66,10.22
Xinqing,0,CN,1555698052,51,48.28,129.53,25.44,3.15
Waipawa,1,NZ,1555697716,94,-39.94,176.59,37.99,3.71
Port Hedland,55,AU,1555695000,88,-20.31,118.58,78.8,8.05
Patnagarh,63,IN,1555698052,56,20.71,83.13,83.04,8.08
Burns Lake,67,CA,1555698052,59,54.23,-125.76,38.94,6.73
Nemuro,90,JP,1555698052,73,43.32,145.57,35.16,8.08
Hazorasp,0,UZ,1555695000,66,41.32,61.08,48.2,11.41
Alofi,88,NU,1555698053,80,-19.06,-169.92,79.26,24.87
Senador Jose Porfirio,98,BR,1555698053,70,-2.59,-51.95,86.46,2.73
Nizwa,0,OM,1555698053,19,22.93,57.53,82.5,5.06
Guderup,0,DK,1555698004,44,54.99,9.87,59.0,4.7
Liwale,67,TZ,1555698053,88,-9.8,37.92,71.88,5.03
Vomp,20,AT,1555697833,34,47.34,11.68,66.2,3.36
Yatou,93,CM,1555698054,76,3.63,9.81,85.38,12.08
La Rioja,58,AR,1555698054,61,-29.41,-66.86,73.5,8.25
Mitsamiouli,20,KM,1555693200,79,-11.38,43.28,84.2,11.41
Olinda,75,EC,1555698024,78,-2.03,-79.75,84.99,4.7
Cabra,75,ES,1555697636,72,37.47,-4.43,63.0,4.7
Kingsville,90,US,1555697939,88,39.45,-76.42,73.99,12.75
Kati,0,ML,1555696800,16,12.75,-8.07,104.0,2.24
Juba,94,EE,1555697416,28,57.82,26.93,57.2,8.05
Pierre,75,US,1555697799,29,44.37,-100.35,63.0,11.41
Udachnyy,90,RU,1555693200,41,66.42,112.4,21.2,8.95
Roald,0,NO,1555697820,50,62.58,6.12,60.8,9.17
Viedma,0,AR,1555698055,42,-40.81,-62.99,67.56,14.72
Baghmara,42,IN,1555698055,47,23.8,86.21,80.52,5.55
Balkhash,44,KZ,1555698056,66,46.84,74.98,51.0,5.57
Nosy Varika,25,MG,1555698056,95,-20.58,48.53,74.76,3.13
Akdepe,90,TM,1555695000,60,42.05,59.39,48.2,11.41
Cuamba,12,MZ,1555698056,81,-14.8,36.54,71.16,8.28
Sainte-Marie,40,CA,1555697772,100,46.45,-71.03,48.0,2.24
Eresos,0,GR,1555696200,50,39.17,25.93,55.4,6.98
North Bend,90,US,1555698028,93,43.41,-124.22,55.99,6.93
Dera Bugti,0,PK,1555698058,32,29.03,69.15,78.54,1.23
Muravlenko,98,RU,1555698058,95,63.79,74.5,21.3,13.15
Mahon,75,IE,1555697556,77,51.89,-8.4,59.0,6.93
Hede,92,SE,1555697793,29,60.45,15.49,62.6,1.12
Chara,20,GR,1555697599,76,39.42,22.43,61.0,4.0
Tiszafured,0,HU,1555695900,20,47.62,20.77,62.6,10.29
Palomares,40,ES,1555697922,71,40.39,-5.74,53.6,19.46
Lamar,1,US,1555697798,25,38.09,-102.62,64.4,6.93
Moron,95,VE,1555698059,57,10.49,-68.2,87.9,7.09
Shingu,0,JP,1555698059,84,33.72,135.99,42.36,4.92
Davila,0,PH,1555698059,80,18.47,120.58,81.78,2.01
Velyka Lepetykha,100,UA,1555698059,51,47.18,33.94,46.32,7.63
Jining,29,CN,1555698059,38,35.41,116.58,51.0,3.11
Sembakung,91,ID,1555698060,99,3.82,117.25,73.86,1.95
Dalbandin,0,PK,1555698060,17,28.9,64.41,81.24,3.22
Ambilobe,83,MG,1555698060,90,-13.19,49.05,75.12,7.34
Kanigoro,69,ID,1555698060,94,-8.13,112.22,75.3,2.71
Sept-Iles,75,CA,1555697901,86,50.2,-66.38,42.01,8.05
Moundsville,90,US,1555697988,77,39.92,-80.74,66.99,10.29
Shimoda,48,JP,1555698031,85,34.7,138.93,61.0,7.63
Bambanglipuro,100,ID,1555698061,80,-7.95,110.28,83.4,14.92
Mahajanga,20,MG,1555696800,88,-15.72,46.32,80.6,4.05
Nantucket,90,US,1555697859,77,41.28,-70.1,72.0,18.34
